respondent_id,country,sex,age,urban_rural,income_level,marital_status,education,life_satisfaction,freedom_of_choice,financial_satisfaction,trust_people,importance_of_god,emancipative_values,secular_values,avg_satisfaction,age_group
792070014,Turkey,Male,95,Urban,Medium,Single,Lower,8,1,5,Not trusted,10,0.249722222,0.1513888889,6.5,61+
344070043,Hong Kong SAR,Male,91,Urban,Low,Married,Lower,10,1,2,Not trusted,6,0.33875,0.3452777778,6,61+
344070645,Hong Kong SAR,Male,89,Urban,Low,Widowed,Lower,4,5,5,Not trusted,9,0.464166667,0.4005555556,4.5,61+
344070124,Hong Kong SAR,Male,88,Urban,Medium,Widowed,Lower,1,9,1,Not trusted,1,0.657378889,0.5969391667,1,61+
344070040,Hong Kong SAR,Male,88,Urban,Low,Married,Lower,9,10,8,Not trusted,6,0.47125,0.3132141667,8.5,61+
344070082,Hong Kong SAR,Male,88,Urban,Low,Married,Lower,10,9,10,Not trusted,10,0.318472222,0.4441666667,10,61+
344070833,Hong Kong SAR,Male,87,Urban,Low,Married,Middle,8,5,6,Not trusted,1,0.371574074,0.5691666667,7,61+
344070437,Hong Kong SAR,Female,86,Urban,Medium,Widowed,Lower,5,1,6,Not trusted,1,0.249583333,0.2491666667,5.5,61+
344070274,Hong Kong SAR,Male,86,Urban,Medium,Separated,Lower,8,8,6,Trusted,2,0.350740741,0.5258333333,7,61+
344070159,Hong Kong SAR,Male,86,Urban,Low,Married,Lower,5,5,3,Not trusted,1,0.232407407,0.36,4,61+
344070478,Hong Kong SAR,Female,86,Urban,Low,Widowed,Lower,5,5,4,Not trusted,5,0.350574074,0.6288888889,4.5,61+
344070089,Hong Kong SAR,Female,86,Urban,Low,Married,Lower,6,5,5,Not trusted,10,0.495458148,0.1375,5.5,61+
344070057,Hong Kong SAR,Female,84,Urban,Low,Widowed,Lower,8,5,8,Not trusted,10,0.450277778,0.3588888889,8,61+
344070994,Hong Kong SAR,Male,84,Urban,Medium,Divorced,Lower,9,9,9,Not trusted,9,0.207916667,0.6630833333,9,61+
344070103,Hong Kong SAR,Male,83,Urban,Low,Married,Lower,10,1,10,Not trusted,10,0.464027778,0.4980555556,10,61+
344070717,Hong Kong SAR,Male,83,Urban,Low,Widowed,Lower,5,5,7,Not trusted,1,0.354953704,0.415,6,61+
344070399,Hong Kong SAR,Male,82,Urban,Low,Separated,Lower,1,8,3,Not trusted,4,0.361898148,0.47,2,61+
344070386,Hong Kong SAR,Male,82,Urban,Low,Married,Middle,6,6,5,Not trusted,1,0.427657407,0.3041666667,5.5,61+
344070171,Hong Kong SAR,Female,81,Urban,Medium,Widowed,Lower,7,7,6,Trusted,7,0.297777778,0.5045638889,6.5,61+
344070637,Hong Kong SAR,Male,81,Urban,Medium,Married,Higher,7,6,7,Trusted,1,0.516990741,0.3741666667,7,61+
344070504,Hong Kong SAR,Male,81,Urban,Medium,Married,Lower,5,10,5,Not trusted,5,0.333333333,0.5108333333,5,61+
344070542,Hong Kong SAR,Male,81,Urban,Low,Married,Lower,5,3,5,Not trusted,8,0.274907407,0.3866666667,5,61+
344070435,Hong Kong SAR,Male,81,Urban,Low,Widowed,Higher,10,10,8,Not trusted,5,0.325277778,0.3325,9,61+
344070417,Hong Kong SAR,Female,80,Urban,Low,Widowed,Lower,10,10,10,Not trusted,10,0.64037037,0.1655555556,10,61+
344070858,Hong Kong SAR,Male,80,Urban,Medium,Married,Lower,8,10,8,Not trusted,7,0.138333333,0.29,8,61+
344070382,Hong Kong SAR,Male,80,Urban,Low,Married,Lower,6,8,7,Not trusted,1,0.538796296,0.4441666667,6.5,61+
344070204,Hong Kong SAR,Female,80,Urban,Medium,Widowed,Higher,7,7,8,Not trusted,6,0.498055556,0.3180555556,7.5,61+
344070652,Hong Kong SAR,Female,80,Urban,Low,Widowed,Lower,9,9,7,Not trusted,1,0.367998519,0.4008333333,8,61+
344070081,Hong Kong SAR,Male,80,Urban,Low,Widowed,Lower,7,6,4,Not trusted,3,0.31587963,0.5958333333,5.5,61+
360072214,Indonesia,Male,80,Rural,Low,Married,Lower,5,2,10,Not trusted,10,0.242222222,0.3143888889,7.5,61+
458070262,Malaysia,Female,80,Rural,Low,Married,Higher,9,9,8,Not trusted,10,0.360555556,0.4425,8.5,61+
792071229,Turkey,Female,80,Urban,Low,Married,Lower,3,5,3,Not trusted,3,0.447444444,0.2630555556,3,61+
344070136,Hong Kong SAR,Female,79,Urban,Medium,Widowed,Lower,10,8,7,Trusted,10,0.483240741,0.1797222222,8.5,61+
344070906,Hong Kong SAR,Female,79,Urban,Medium,Divorced,Middle,8,1,10,Not trusted,6,0.371712963,0.29,9,61+
344070228,Hong Kong SAR,Male,79,Urban,Medium,Married,Higher,8,4,8,Not trusted,2,0.378518519,0.5258333333,8,61+
458070610,Malaysia,Male,79,Urban,High,Married,Higher,6,7,6,Not trusted,10,0.540694444,0.29,6,61+
792071564,Turkey,Male,79,Urban,Medium,Married,Lower,6,8,7,Not trusted,10,0.69212963,0.2066666667,6.5,61+
344070451,Hong Kong SAR,Female,78,Urban,Medium,Living together as married,Lower,8,10,5,Not trusted,7,0.314509259,0.3877777778,6.5,61+
344070223,Hong Kong SAR,Male,78,Urban,Medium,Married,Lower,6,8,5,Trusted,7,0.420185185,0.3052777778,5.5,61+
344070728,Hong Kong SAR,Male,78,Urban,Low,Married,Lower,7,8,6,Not trusted,5,0.631111111,0.4055316667,6.5,61+
344070327,Hong Kong SAR,Male,78,Urban,Medium,Married,Lower,7,8,7,Not trusted,7,0.617222222,0.415,7,61+
344070579,Hong Kong SAR,Female,78,Urban,High,Single,Higher,10,9,9,Not trusted,5,0.485,0.5125,9.5,61+
344070261,Hong Kong SAR,Female,78,Urban,Low,Married,Lower,7,7,7,Trusted,3,0.346111111,0.3733333333,7,61+
344070771,Hong Kong SAR,Male,78,Urban,Low,Married,Lower,8,8,6,Not trusted,4,0.288518519,0.4708333333,7,61+
360071819,Indonesia,Male,78,Rural,Low,Married,Lower,10,10,5,Not trusted,10,0.195333333,0.2219444444,7.5,61+
360071660,Indonesia,Female,78,Rural,Low,Widowed,Lower,9,10,8,Not trusted,10,0.256944444,0.2355555556,8.5,61+
344070520,Hong Kong SAR,Female,77,Urban,Low,Widowed,Lower,4,5,2,Not trusted,1,0.380833333,0.4152777778,3,61+
344070308,Hong Kong SAR,Male,77,Urban,Low,Married,Middle,8,9,8,Not trusted,7,0.424398148,0.2216666667,8,61+
344070366,Hong Kong SAR,Male,77,Urban,Medium,Married,Lower,6,6,6,Not trusted,1,0.413518519,0.4453658333,6,61+
344070183,Hong Kong SAR,Female,77,Urban,Low,Widowed,Lower,9,5,8,Not trusted,10,0.385740741,0.32075,8.5,61+
344070576,Hong Kong SAR,Female,77,Urban,Medium,Widowed,Higher,8,7,8,Trusted,10,0.42712963,0.0963888889,8,61+
344071014,Hong Kong SAR,Male,77,Urban,High,Widowed,Middle,10,10,9,Not trusted,5,0.401388889,0.7075,9.5,61+
344070320,Hong Kong SAR,Male,77,Urban,Medium,Married,Lower,10,7,4,Not trusted,5,0.357685185,0.4283333333,7,61+
344070075,Hong Kong SAR,Female,77,Urban,Medium,Widowed,Lower,5,2,5,Not trusted,7,0.549814815,0.5813888889,5,61+
344070001,Hong Kong SAR,Female,77,Urban,Low,Widowed,Middle,5,10,5,Trusted,5,0.554444444,0.4286111111,5,61+
344070496,Hong Kong SAR,Female,76,Urban,Medium,Widowed,Lower,8,9,9,Not trusted,1,0.320509259,0.4291666667,8.5,61+
