country,respondent_id,age,urban_rural,income_level,sex,marital_status,education,life_satisfaction,freedom_of_choice,emancipative_values,trust_people,importance_of_god,financial_satisfaction,secular_values
Hong Kong SAR,344070882,62.0,Urban,Medium,Male,Married,Middle,8.0,7.0,0.713333333,Trusted,1.0,7.0,0.525
Hong Kong SAR,344070454,24.0,Urban,Medium,Male,Single,Higher,8.0,8.0,0.59787037,Trusted,,8.0,0.5284166667
Hong Kong SAR,344072005,29.0,Urban,Low,Female,Single,Middle,2.0,3.0,0.826388889,Not trusted,1.0,2.0,0.6941666667
Hong Kong SAR,344071354,55.0,Urban,Medium,Female,Separated,Higher,7.0,5.0,0.613796296,Trusted,6.0,6.0,0.4838888889
Hong Kong SAR,344070282,62.0,Urban,Low,Male,Married,Lower,7.0,8.0,0.472592593,Not trusted,3.0,9.0,0.6794444444
Hong Kong SAR,344070942,41.0,Urban,Medium,Male,Single,Middle,7.0,6.0,0.545185185,Not trusted,6.0,6.0,0.6361111111
Hong Kong SAR,344071186,69.0,Urban,Medium,Female,Married,Lower,5.0,6.0,0.339166667,Not trusted,5.0,5.0,0.5252777778
Hong Kong SAR,344071160,25.0,Urban,Medium,Male,Single,Higher,4.0,5.0,0.607546296,Trusted,3.0,4.0,0.7894444444
Hong Kong SAR,344071139,28.0,Urban,Medium,Female,Single,Higher,6.0,6.0,0.617638889,Trusted,7.0,5.0,0.4011111111
Hong Kong SAR,344070600,62.0,Urban,Low,Male,Married,Lower,10.0,10.0,0.494537037,Not trusted,9.0,8.0,0.2775
Hong Kong SAR,344070716,66.0,Urban,Low,Female,Divorced,Lower,5.0,5.0,0.418148148,Not trusted,3.0,5.0,0.5258333333
Hong Kong SAR,344071320,57.0,Urban,Medium,Male,Married,Middle,8.0,8.0,0.339305556,Trusted,8.0,8.0,0.4569444444
Hong Kong SAR,344070248,69.0,Urban,Medium,Female,Married,Lower,7.0,6.0,0.476018519,Not trusted,5.0,7.0,0.4702777778
Hong Kong SAR,344070362,61.0,Urban,Medium,Female,Married,Lower,5.0,5.0,0.448518519,Not trusted,1.0,5.0,0.305
Hong Kong SAR,344071337,57.0,Urban,Medium,Female,Married,Middle,6.0,5.0,0.559212963,Not trusted,5.0,5.0,0.7333333333
Hong Kong SAR,344071944,31.0,Urban,Medium,Male,Single,Middle,5.0,7.0,0.556203704,Not trusted,3.0,5.0,0.6363888889
Hong Kong SAR,344070940,51.0,Urban,Medium,Female,Divorced,Lower,8.0,10.0,0.554027778,Not trusted,10.0,8.0,0.2488888889
